Problem,Specialist
"আমার কয়েক মাস যাবত ধরে মুখ শুকিয়ে যাওয়া, কারণ লালার অভাব বোধ করছি ধূমপানের অভ্যাস রয়েছে। এমনকি নরম খাবার খেতেও কষ্ট হচ্ছে এবং এর সাথে সমস্ত পাটির দাঁতে চিনচিন ব্যথা।",Dentist
আমার কোমরের হাড়ে ফাটল ধরা পড়েছে।,Surgery
"আমি প্রেগন্যান্সির সময় অনেক ঘুমাই, এটা কি ঠিক?",Gynecologist
আমার বায়োপসি করার পর থেকে জায়গাটা ফুলে গেছে এবং রক্ত পড়া বন্ধ হচ্ছে না।,Surgery
আমার এক সপ্তাহ থেকে হঠাৎ করেই নাক দিয়ে রক্ত বের হয়েছে।,ENT
আমার অণ্ডকোষে মোচড় লেগে তীব্র ব্যথা হচ্ছে।,Surgery
"আমার গতকাল থেকে মাড়ি ফোলা, যা লালচে হয়ে আছে দাঁত কিছুটা নড়ছে। এমনকি নরম খাবার খেতেও কষ্ট হচ্ছে।",Dentist
আমার মায়ের হিপ জয়েন্টে ব্যথা।,Orthopedic
আমার পা কেটে গেছে এবং রক্ত থামছে না।,Surgery
বুকের এক্স-রে তে দেখা গেছে আমার হার্টটা বড় হয়ে গেছে।,Cardiologist
২ রাত হয় ঘুম আসতে চায়না খুব অস্থির লাগে কান্না আসে এমন কেন হল। আমি প্যনিক ডিসঅর্ডার রুগি ঘুমের বড়ি খেয়েও ঘুম আসেনা…,Psychiatrist
"আমি প্রচুর শপ্ন দেখি রাতে ঘুমালে বা দিনে ঘুমালে, কল্পনার মাধ্যমে রাত কাটে, এমনটা কেন হয়?",Psychiatrist
ফেইসবুকে ঢুকে স্ক্রল করতেই দেখবেন আপনার ব্যাচের টপার আর আপনার বন্ধুটি নেই। সে এখন আপনারই ভার্সিটিরই টিচার আর আপনার হয়ত দুয়েকটা সাবজেক্ট এখনও আটকে আছে।,Psychiatrist
আমার অনেক নার্ভাস লাগে। ক্লান্ত লাগে। আর অনেক ঘাম হয়।,Medicine
আমার মাথায় অনেক খুশকি আর চুলও পড়ছে।,Skin
"আমার সাম্প্রতিক কয়েক সপ্তাহ ধরে বরফ/ঠান্ডা বাতাস খেলে দীর্ঘস্থায়ী অস্বস্তি, শীতকালে সমস্যা বেড়ে যায়। ডাক্তার দেখানোর সিদ্ধান্ত নিয়েছি পাশাপাশি অস্থায়ী দাঁত নড়া।",Dentist
আমার কাশির সাথে সবুজ বা হলুদ কফ বের হয়।,Cardiologist
আমার দুই সপ্তাহ থেকে কানে অসহ্য যন্ত্রণা হচ্ছে।,ENT
আমার ত্বকের কিছু অংশে ছোপ ছোপ দাগ পড়েছে।,Skin
আমার দুই সপ্তাহ সময় ধরে নাক দিয়ে শ্বাস নিতে কষ্ট হচ্ছে এবং গন্ধ পেলে বমি পায়।,ENT
আমার মেরুদণ্ডের একটি কশেরুকা ভেঙে গেছে।,Surgery
"আমার প্রায় মাসখানেক ধরে সমস্ত পাটির দাঁতে তীব্র যন্ত্রণা, যা রাতের ঘুম নষ্ট করছে। এমনকি নরম খাবার খেতেও কষ্ট হচ্ছে।",Dentist
আমার ত্বকের কিছু অংশ অস্বাভাবিক সাদা হয়ে গেছে।,Skin
পিরিয়ডের সময় পেটে অনেক ব্যথা হয়।,Gynecologist
আমার ঠোঁট শুকিয়ে চামড়া ওঠে।,Skin
আমার বুড়ো আঙুলটা শক্ত হয়ে গেছে।,Orthopedic
"আমার মুখের টি-জোন (কপাল, নাক, থুতনি) খুব তৈলাক্ত।",Skin
পিরিয়ডের সময় রক্তের পরিমাণ কম হয় এবং কালচে রঙের হয়।,Gynecologist
আমি দীর্ঘদিন ধরে মাসিকজনিত মানসিক সমস্যায় ভুগছি।,Gynecologist
আমার গলার স্বর বদলে গেছে কয়েকদিন ধরে।,Medicine
আমার বুকে ব্যথার জন্য হাসপাতালে ভর্তি ছিলাম।,Cardiologist
"আমার সাম্প্রতিক কয়েক সপ্তাহ ধরে দাঁত ভেঙে যাওয়া, কারণ হঠাৎ করে চিবোতে গেলে ধূমপানের অভ্যাস রয়েছে। যা দৈনন্দিন কাজে ব্যাঘাত ঘটাচ্ছে এর সঙ্গে মাড়ি থেকে পুঁজ।",Dentist
আমার বাম হাতটা প্রায়ই ঝিমঝিম করে।,Orthopedic
আমার চোখ খুব চুলকায় এবং লাল হয়ে যায়।,Ophthalmologist
আমার ঘাড়ের পেছনের অংশটা খুব কালো।,Skin
"বুকের মাঝখানে জ্বালাপোড়া করে, মনে হয় এসিড 올라 আসছে।",Cardiologist
"হুটহাট দম বন্ধ লাগে, নিঃশ্বাস নিতে কষ্ট হয়, অল্পতেই বিরক্তি চলে আসে, অস্থির লাগে, ভীষণ মন খারাপ হয়, এই ব্যাপার গুলো সত্যি একান্তই নিজের। কেউ বুঝতে চায় না ঠিক এমন না, আসলে",Psychiatrist
চোখ ঘোরালে ব্যথা লাগে।,Ophthalmologist
আমার গত এক সপ্তাহ যাবত কানে শব্দ আসে কিন্তু বুঝতে পারি না।,ENT
আমার জীবন তো শেষ হচ্ছে। সাথে আমার ছোট্ট একটা মেয়ের আর হাজবেন্ড এর জীবন। ধ্বংস করে দিচ্ছি। সৃষ্টি কর্তা এর থেকে মৃত্যু দিত।,Psychiatrist
আমার খুশকির জন্য শ্যাম্পু ব্যবহার করেও লাভ হচ্ছে না।,Skin
আমার এক সপ্তাহ সময় ধরে নাক দিয়ে শ্বাস নিতে কষ্ট হচ্ছে এর সাথে গন্ধ পেলে বমি পায়।,ENT
আমার হাতে কোনো জিনিস শক্ত করে ধরতে পারি না।,Orthopedic
"বাবা মায়ের পারিবারিক অশান্তি গুলাতে খুবই ট্রমার ভিতর থাকি। বাবা মাকে টরচার করে এজন্য রাতে ঘুমও হয়না, ঘুমের ভিতর দেখতে থাকি বাবা মাকে মারছেন হয়ত।",Psychiatrist
আমি কোনো শব্দ বেশিক্ষন ধরে শুনলে অশান্তি লাগে আর মাথা ব্যথা শুরু হয়ে যায়,Medicine
আমার বাম হাতটা তুলতে খুব কষ্ট হয়।,Orthopedic
আমার ত্বকের ক্যান্সার হয়েছে বলে সন্দেহ করা হচ্ছে।,Surgery
আমার দুই সপ্তাহ ধরে গন্ধের অনুভূতি কমে গেছে আরও নাক একদম বন্ধ হয়ে আছে।,ENT
"আমি অনেক বেশি ইমোশনাল, লং টাইম একটা টক্সিক রিলেশনশিপে ছিলাম। যার কারনে অনেক বেশি হার্ট হয়েছি। সুইসাইড এটেম্পট ও নিছি।",Psychiatrist
আমার অনেক শ্বাসকষ্ট হয়। বেশিক্ষন কোনো কাজ করতে পারি না,Cardiologist
আমার গোড়ালির ব্যথাটা সকালে সবচেয়ে বেশি থাকে।,Orthopedic
"সবসময়ই অস্থিরতার মাঝে থাকি. আমার সহপাঠীরা সহজেই যেমন সব কিছু আয়ত্তে আনতে পারে. আমি কেনো জানি পারি না, সব ক্ষেত্রেই টেনশন কাজ করে…",Psychiatrist
আমার কয়েক মাস ধরে কানে শব্দ আসে কিন্তু বুঝতে পারি না এবং কানে অসহ্য যন্ত্রণা হচ্ছে। মাথাব্যথা করছে।,ENT
আমার ব্রণের ভেতরে রক্ত জমে কালো হয়ে আছে।,Skin
আমার কিডনিতে পাথর হয়েছে।,Surgery
আমার কয়েক দিন সময় ধরে কান দিয়ে সাদা পুঁজ বের হচ্ছে । জ্বর আসছে।,ENT
আমার অনেক গ্যাস্ট্রিকের সমস্যা করে,Medicine
আমি নিয়মিত পিরিয়ড পাই না।,Gynecologist
"আমার গত দুই সপ্তাহ যাবৎ দাঁত ভেঙে যাওয়া, কারণ হঠাৎ করে চিবোতে গেলে অতিরিক্ত শক্ত ব্রাশ ব্যবহার করি। যা দৈনন্দিন কাজে ব্যাঘাত ঘটাচ্ছে।",Dentist
"আমার গতকাল থেকে মুখ শুকিয়ে যাওয়া, কারণ লালার অভাব বোধ করছি ধূমপানের অভ্যাস রয়েছে।",Dentist
আমার সমস্যার সমাধান কি হতে পারে বা আত্মহত্যার মত ডিপ্রেশন থেকে কিভাবে বাঁচতে পারি..,Psychiatrist
প্রেগন্যান্সির সময় কাঁধ ও ঘাড় ব্যথা হয়।,Gynecologist
আমি দীর্ঘদিন ধরে সাদা স্রাবের সমস্যায় ভুগছি।,Gynecologist
আমার পাকস্থলী থেকে রক্তবমি হচ্ছে।,Surgery
আমার সারা শরীরে বিচির মত গোটা উঠেছে আর এগুলো খুব চুল্কায়,Skin
"আমার মেয়ের নাকের পাশে, থুতনিতে আর গালে কালো দাগ পরে গেছে",Skin
"আমার সাম্প্রতিক কয়েক সপ্তাহ ধরে মাড়ি থেকে পুঁজ, যা নোনা পানিতে জ্বালা করে দাঁত কিছুটা নড়ছে। ডাক্তার দেখানোর সিদ্ধান্ত নিয়েছি।",Dentist
আমার বুকের ডান দিকে ব্যথা হয়।,Surgery
"প্রচুর ঘুম আসে,, দিন এর বেলাও ঝিমাইতে থাকি। ১০ টার মধ্যে ঘুমাই জাই ৬টায় উ ঠি।দিন এও ঘুমাই তাও ঘুম যায় না। কফিতেও কাজ হয় না",Psychiatrist
"আসসালামু আলাইকুম, কুকুর খুব ভয় পাই।রাস্তা বের হলেই মনে হয় কুকুর আক্রমণ করবে।এই ভয়টা কিভাবে দূর করবো?",Psychiatrist
আমার সবকিছু হলদেটে দেখি,Ophthalmologist
আমি সৌদি আরব আসছি ১ বছর ৫ মাস হইচে! কয়েক দিন যাবত আমি ঘুমাতে পারতাছি না! শুধু দুশ্চিন্তা করি কোনো ভাবেই দুশ্চিন্তা মুক্ত হতে পারতেছি না! পরামর্শ দিলে মানসিক শান্তি পেতাম?,Psychiatrist
চোখের কোণায় পিচুটি জমে থাকে সারাদিন।,Ophthalmologist
আমার স্তনের নিপল থেকে কিছু তরল বের হয়।,Gynecologist
আমার মাথায় অনেক শুষ্ক খুশকি আর মাথা অনেক আঠালো হয়ে যায় আর অনেক চুল্কায়,Skin
"আমার গোড়ালির ফোলাটা সকালের দিকে কমে যায়, কিন্তু দিনের শেষে আবার বেড়ে যায়।",Cardiologist
আমার মুখের ত্বকটা খুব অমসৃণ আর রোদে পোড়া।,Skin
"আমার সপ্তাহের শুরুতে থেকে অস্থায়ী দাঁত নড়া, কারণ যা ভাষা বলতে সমস্যা করছে দাঁত কিড়মিড়ানোর অভ্যাস আছে। ডাক্তার দেখানোর সিদ্ধান্ত নিয়েছি এর সঙ্গে ছোট কালো দাগ দেখা যাচ্ছে।",Dentist
আমার মাজায় এত বেশি ব্যথা যে আমি ঝুঁকে কোনো কাজ করতে পারি না।,Orthopedic
খাবার খাওয়ার পরপরই আমার বুকে চাপ বাড়ে এবং শ্বাস নিতে কষ্ট হয়।,Cardiologist
ড্রপ দিলে চোখ জ্বলে।,Ophthalmologist
"জীবন কখনই সহজ নয়। কাজ করতে হবে এবং বাধ্যবাধকতা পূরণ করতে হবে – সত্য, ন্যায়বিচার এবং স্বাধীনতার বাধ্যবাধকতা।",Psychiatrist
আমার বোনের কয়েকদিন ধরে চোখ আর মাথা ব্যথা,Ophthalmologist
আমার হৃদরোগের কারণে আমি ঈশ্বরের ওপর বিশ্বাস হারিয়ে ফেলেছি।,Cardiologist
আমার জ্বর আছে এবং শরীর খুব দুর্বল।,Cardiologist
আমার ডিপ ভেইন থ্রম্বোসিস হয়ে পা মারাত্মক ফুলে গেছে।,Surgery
আমার মায়ের ঘাড় থেকে হাতে ব্যথা নামে।,Orthopedic
আমার শরীরে গুটি হওয়া শুরু হয়েছে বিভিন্ন জায়গায়।,Surgery
আমার কার্ডিওমায়োপ্যাথি আছে।,Cardiologist
মেডিক্যাল অ্যাবরশন সম্পর্কে জানতে আগ্রহী।,Gynecologist
নতুন কোনো কসমেটিক ব্যবহার করলেই আমার মুখে ব্রণ ওঠে।,Skin
"আমার কিছুদিন সময় ধরে পুরানো ফিলিং এর নিচে এ গভীর ক্যাভিটি, যা ঠান্ডা-গরমে সাড়া দেয়। যা দৈনন্দিন কাজে ব্যাঘাত ঘটাচ্ছে।",Dentist
"অনেকেই বলে দুঃখের পর সুখ আসে।এটা কি সত্যি?
আর অনেকেই বলে বিশ্বাসে মেলায় বস্তু।বিশ্বাস ত আমিও করি,কিন্তু হয় ত উল্টোটা।কিভাবে পজিটিভ চিন্তা আনা যাবে,?,সবসময় নেগেটিভ চিন্তা মাথায় আসে.",Psychiatrist
প্রেগন্যান্সির সময় হালকা রক্ত দেখলে কী করব?,Gynecologist
আমার গত দুই সপ্তাহ যাবত হঠাৎ করেই নাক দিয়ে রক্ত বের হয়েছে আরও রাতে নাক বন্ধ হয়ে যায়। জ্বর আসছে।,ENT
আমার লাগে আমাকে ওপরে তুলে পেলছে।নিচে নামায় পেলছে।কি করব?,Psychiatrist
চোখ সবসময় ক্লান্ত অনুভব করি।,Ophthalmologist
"আমার কিছুদিন সময় ধরে বরফ/ঠান্ডা বাতাস খেলে দীর্ঘস্থায়ী অস্বস্তি, শীতকালে সমস্যা বেড়ে যায়।",Dentist
আমার বুক ধড়ফড় করে এবং সাথে ঘামও হয়।,Cardiologist
আমার কিডনির পাথর অপসারণ করতে হবে।,Surgery
আমার হাতের আঙ্গুলে ব্যথা করে,Orthopedic
"হঠাৎ করে মন খারাপ হয়ে যায়, দুনিয়াদারী অসহ্য মনে হয় তখন। কিছু ভালো লাগে নাহ। কি জন্য বেঁচে আছি, কি করলাম জীবনে শুধু এগুলাই মাথায় ঘুরে তখন।",Psychiatrist
আমার ঔষধগুলো ঠিকমত কাজ করছে কিনা তা দেখতে এসেছি।,Cardiologist
আমার ত্বকে একটা পুরনো পোড়া দাগ আছে।,Skin
"আমার গত দুই সপ্তাহ যাবৎ দাঁতের গোড়ায় এ ছোট কালো দাগ, যা দিন দিন বাড়ছে। এমনকি নরম খাবার খেতেও কষ্ট হচ্ছে এর সঙ্গে মাড়ি সরে যাওয়া।",Dentist
"আমার গত কয়েক দিন যাবৎ উপরের ডান দিকের মোলার দাঁতে তীব্র যন্ত্রণা, যা রাতের ঘুম নষ্ট করছে। যা দৈনন্দিন কাজে ব্যাঘাত ঘটাচ্ছে।",Dentist
আমার সারা শরীরে পানি আসে আর শরীর ভার হয়ে থাকে,Medicine
প্রেগন্যান্সির সময় প্রস্রাব ধরে রাখতে পারি না।,Gynecologist
আমার পায়ের গোড়ালিতে সূঁচ ফোটানোর মতো ব্যথা হয়।,Orthopedic
চোখের সামনে মাছির মতো কিছু উড়ে।,Ophthalmologist
"আমার সাম্প্রতিক কয়েক সপ্তাহ ধরে মাড়ি সরে যাওয়া, দাঁতের গোড়া বের হয়ে আসছে খাবার চিবোতে সমস্যা হচ্ছে। এমনকি নরম খাবার খেতেও কষ্ট হচ্ছে পাশাপাশি ঠান্ডা পানীয় এ সমস্যা।",Dentist
"শেষ মাসিক মিস করেছি, আমি কি গর্ভবতী?",Gynecologist
"আমার গত কয়েক দিন যাবৎ উপরের ডান দিকের মোলার দাঁতে থেমে থেমে ব্যথা, যা কিছুক্ষণ পরপর আসে।",Dentist
"আমার গতকাল থেকে মাড়ি ফোলা, যা লালচে হয়ে আছে স্থায়ীভাবে মাড়ি ক্ষয় হচ্ছে। এর সঙ্গে মুখ শুকিয়ে যাওয়া।",Dentist
আমার মেয়ের অনেক বুকে ব্যথা করে আর শ্বাস নিতে কষ্ট হয় অনেক তখন,Cardiologist
চোখের নিচে ব্যথা হয়।,Ophthalmologist
আমার হাড়ের ভেতরে ইনফেকশন হয়ে গেছে (অস্টিওমায়েলাইটিস)।,Surgery
চোখ বন্ধ করলে কাঁপুনি অনুভব করি।,Ophthalmologist
"আমার ফুসফুসে পুঁজ জমেছে, যা অপারেশন করে বের করতে হবে।",Surgery
চোখ বন্ধ করলে চাপ পড়ে মনে হয়।,Ophthalmologist
আমি কোনো কিছু মনে করতে গেলে অনেক বেশি মাথা ব্যথা শুরু হয়ে যায়,Medicine
আমার মানসিক চাপ কমাতে বলা হয়েছে।,Cardiologist
আমার বুক অনেক জ্বালা পুড়া করে। মনে হয় অনেক ভাড়ি কিছু চাপ দিচ্ছে বুকে।,Cardiologist
"আমার গতকাল থেকে মাড়ি সরে যাওয়া, দাঁতের গোড়া বের হয়ে আসছে খাবার চিবোতে সমস্যা হচ্ছে।",Dentist
আমার পেটে ব্যথা উঠলে বমি হয়।,Surgery
এই রক্ত পাতলা করার ঔষধ খাওয়ার পর থেকে আমার শরীরে সহজে কালশিটে পড়ে যাচ্ছে।,Cardiologist
চোখের পাতা নড়াতে ব্যথা লাগে।,Ophthalmologist
"আমার কথা বলতেও কষ্ট হয়, বাক্য শেষ করার আগেই দম ফুরিয়ে যায়।",Cardiologist
আমার কয়েক সপ্তাহ সময় ধরে গন্ধ পেলে বমি পায় । জ্বর আসছে।,ENT
আমার স্তনের চাকাটি পরীক্ষা করা দরকার।,Surgery
"আমার লম্বা সময় সময় ধরে মাড়ি থেকে রক্ত পড়া, ব্রাশ করলেই দেখা যায় স্থায়ীভাবে মাড়ি ক্ষয় হচ্ছে। যন্ত্রণায় কাজে মনোযোগ দিতে পারছি না।",Dentist
কাছের লেখা পড়তে কষ্ট হয়।,Ophthalmologist
চোখে কিচকিচ করছে।,Ophthalmologist
আমার ফুটবল খেলতে গিয়ে পায়ে চোট লেগেছে।,Orthopedic
প্রেগন্যান্সির সময় মুখে রঙ পরিবর্তন হচ্ছে।,Gynecologist
আমার হাতে বড় গোটার মত কি যেন হয়েছে কিন্তু কোন ব্যথা নেই,Medicine
আমার এক সপ্তাহ ধরে গন্ধের অনুভূতি কমে গেছে আরও নাক দিয়ে রক্ত পড়ছে। খাবার খেতে কষ্ট হচ্ছে।,ENT
"আমার গত কয়েক দিন যাবৎ চোয়ালে ব্যথা, কারণ সকালে ঘুম থেকে উঠলে বেশি ধূমপানের অভ্যাস রয়েছে।",Dentist
"মানসিক ভাবে অনেক অসুস্থ ডিপ্রেশনে লাস্ট পর্যায়ে আছি, বের হতে চাচ্ছি এটা থেকে 🙏",Psychiatrist
"আমার কিছুদিন সময় ধরে অস্থায়ী দাঁত নড়া, কারণ যা ভাষা বলতে সমস্যা করছে অতিরিক্ত শক্ত ব্রাশ ব্যবহার করি। যন্ত্রণায় কাজে মনোযোগ দিতে পারছি না।",Dentist
গর্ভাবস্থায় গ্যাসের সমস্যা বেড়ে গেছে।,Gynecologist
চোখের কনট্যাক্ট লেন্স ব্যবহার করতে পারি না।,Ophthalmologist
আমার হাতের আঙুলগুলো সকালে শক্ত হয়ে যায়।,Orthopedic
"আমার লম্বা সময় সময় ধরে মাড়ি সরে যাওয়া, দাঁতের গোড়া বের হয়ে আসছে দাঁত কিছুটা নড়ছে। সাথে আরও বরফ/ঠান্ডা বাতাস এ সমস্যা।",Dentist
"আমার প্রেগন্যান্সির ৩ মাস চলছে, মাঝে মাঝে পেটের নিচে ব্যথা করে।",Gynecologist
দুই চোখে দেখার পার্থক্য অনুভব করি।,Ophthalmologist
চোখের পাতায় ঘন ঘন অস্বস্তি হয়।,Ophthalmologist
"আমরা যদি সময়ের যত্ন নিই, তবে সময় আমাদের জীবনের যত্ন নেবে।",Psychiatrist
আমি এমনিতেই গত ৭ মাস ধরে কিছু মানসিক সমস্যায় ভুগছি। তার মধ্যে এই ব্যাক্তিগত সমস্যার কারণে এখন কিছুই ভালো লাগছেনা। অলরেডী গতকাল ৬ বার সুই*সাইড করতে নিয়েছিলাম।,Psychiatrist
আমার ছেলের হাঁটুর লিগামেন্ট দুর্বল।,Orthopedic
আমি ভারী ব্যাগ নিলে আমার পিঠ এবং হাতে ব্যথা শুরু হয়।,Orthopedic
আমার শরীর খুব গরম গরম লাগছে কিন্তু থার্মোমিটারে জ্বর দেখায় না।,Medicine
আমার পায়ের তলায় একটা मोटी চামড়ার স্তর পড়েছে।,Orthopedic
সন্তান নেওয়ার পর যৌন জীবনে আগ্রহ কমে গেছে।,Gynecologist
আমার বুকে হঠাৎ ব্যথা শুরু হয় এবং শ্বাস কষ্ট হয়।,Surgery
আমার স্তন ক্যান্সারের জন্য পুরো স্তন ফেলে দিতে বলা হয়েছে।,Surgery
"আমার অনেক দিন সময় ধরে নিচের বাম দিকের ক্যানাইন দাঁতে চিনচিন ব্যথা, যা ঠান্ডা/গরমে বাড়ে। ব্যথানাশক ছাড়া চলছেই না।",Dentist
"গর্ভাবস্থায় ওজন খুব বেড়ে গেছে, এটা কি ঝুঁকিপূর্ণ?",Gynecologist
মাসিকের রক্তে গন্ধ বেশি হয়।,Gynecologist
আমার হৃদরোগ প্রতিরোধের জন্য কি কি করতে হবে তা জানতে এসেছি।,Cardiologist
আমার পায়ের চামড়া মোটা হয়ে কড়া পড়ে গেছে।,Skin
আমার বুকের মহাধমনী (aorta) ফুলে গেছে এবং ফেটে যাওয়ার ঝুঁকি আছে।,Surgery
আমার ত্বকের শুষ্কতার কারণে সাদা সাদা দাগ হয়।,Skin
আমার ত্বকে বয়সের ছাপ কমাতে চাই।,Skin
"আমার গত এক সপ্তাহ যাবৎ মুখ শুকিয়ে যাওয়া, কারণ লালার অভাব বোধ করছি ধূমপানের অভ্যাস রয়েছে।",Dentist
আমার ঠোঁট দুটো সবসময় ফাটা থাকে।,Skin
আমি মারাত্মক শুচিবায়ু রোগে আক্রান্ত। ক্রমশ পাগল হয়ে যাচ্ছি।,Psychiatrist
আমার পেট ফুলে শক্ত হয়ে আছে আর অনেক ভাড়ি মনে হচ্ছে।,Medicine
চোখের পাতায় রক্তচাপ বেশি মনে হয়।,Ophthalmologist
চোখে রোদের আলো খুব লাগে।,Ophthalmologist
আমার ত্বকের কিছু অংশে কোনো অনুভূতি পাই না।,Skin
আমার শরীরের চুলকানির জায়গাগুলো কালো হয়ে যাচ্ছে।,Skin
আমার পায়ের রগে খুব টান ধরে।,Orthopedic
দাদার দুই দিন ধরে মুখে কোনো স্বাদ নেই ,Medicine
আমার পা ভেঙে গেছে।,Surgery
"আমার উচ্চ রক্তচাপের সমস্যা আছে, যা নিয়ন্ত্রণে থাকছে না।",Cardiologist
রাতে ঘুম হয় না টেনশনে।বহু রাত কেটে যায় টেনশনে।,Psychiatrist
আমার হাতে-পায়ে ছোট ছোট লাল র‍্যাশ বেরিয়েছে।,Skin
আমার গত এক মাস যাবত কণ্ঠস্বর কর্কশ হয়ে গেছে এছাড়াও গলা শুকিয়ে কাঠ হয়ে গেছে। মাথাব্যথা করছে।,ENT
আমার দুই রানের সংযোগস্থলে খুব চুলকায় আর কালো হয়ে গেছে।,Skin
"আমার ছেলে হঠাৎ করে তার পা নাড়াতে পারছে না, বলছে অবশ লাগছে।",Orthopedic
মস্তিষ্ক সবসময় সচল থাকে। ঘুমালেও ভাবনায় থাকি। কি করবো খুব বিপদে😓,Psychiatrist
"আমার বুকে একটা চাপা ব্যথা অনুভব করছি, মনে হচ্ছে কেউ বুকটা চেপে ধরেছে।",Cardiologist
আমার গত কয়েক মাস যাবত গলা ফুলে শক্ত হয়ে গেছে আরও কথা বলতে গেলে গলায় চাপ পড়ে।,ENT
"আমার কয়েক মাস যাবত ধরে দাঁতের চিবোনোর পৃষ্ঠে এ গভীর ক্যাভিটি, যা ঠান্ডা-গরমে সাড়া দেয়। ডাক্তার দেখানোর সিদ্ধান্ত নিয়েছি সাথে আরও গরম চা/কফি এ সমস্যা।",Dentist
"জরায়ুমুখে ঘা হয়েছে, ডাক্তার বলেছে।",Gynecologist
আমি অতিরিক্ত মোবাইলে আসক্ত এটা থেকে মুক্তির কোনো উপায় থাকলে জানাবেন।আর কীভাবে বেশি পড়ালেখা নিয়ে বসে থাকা যায় সেটার উপায়। সারাক্ষণ মন খারাপ থাকে আমার।,Psychiatrist
আমার বুকের ব্যথাটা বিশ্রামে কমে না।,Cardiologist
আমার বুকে ব্যথার সাথে বমি বমি ভাবও থাকে।,Cardiologist
"আমার কয়েক মাস যাবত ধরে মাড়ি থেকে রক্ত পড়া, ব্রাশ করলেই দেখা যায় মুখে দুর্গন্ধ সৃষ্টি করছে।",Dentist
আমার হাঁটার সময় গোড়ালিতে কট করে শব্দ হয়।,Orthopedic
চোখের চারদিকে চাপ লাগে।,Ophthalmologist
আমার ত্বকে লাল র‍্যাশের সাথে সাথে চামড়া গরম হয়ে যায়।,Skin
আমার হাতে অবশ ভাবটা আঙুলের ডগায় বেশি।,Orthopedic
আমার এক পায়ে আরেক পায়ের চেয়ে বেশি ব্যথা।,Orthopedic
চোখের পাশে ছোট গোটা হয়েছে।,Ophthalmologist
"চোখ জ্বলে উঠে, বিশেষ করে রাতে।",Ophthalmologist
আমার মেয়ের ঘাড়ে ব্যথা হওয়ায় সে ঠিকমতো তাকাতে পারছে না।,Orthopedic
আমার মেয়ের হাত মচকে গিয়ে ফুলে গেছে।,Orthopedic
ইসিজি রিপোর্টে সমস্যা ধরা পড়েছে।,Cardiologist
"জীবনে কখনো আনন্দ থাকে আর কখনো কষ্ট। সব সময় আমি সুখের আশা করি না, আর সব সময় কষ্ট সহ্য করতে পারি না। হয়তো তুমি অকারনে ই একটু বেশি কষ্ট দাও, যেটা আমার সহ্যের বাইরে।”",Psychiatrist
আমার শিশুর অন্ত্রের একটি অংশ সঠিকভাবে বিকশিত হয়নি।,Surgery
চোখের পাপড়ির গোড়ায় সাদা আস্তরণ জমেছে।,Ophthalmologist
আমার কথা বলতে খুব কষ্ট হচ্ছে।,Cardiologist
মৃত্যু কিংবা মুক্তি 😭,Psychiatrist
আমার চোখ টকটকে লাল হয়ে আছে,Ophthalmologist
আমার প্রায় কয়েক মাস যাবত গিলতে গেলে গলায় যন্ত্রণা হয়।,ENT
আমার ফোঁড়াটা পাকাতে হবে এবং অপারেশন করতে হবে।,Surgery
আমার এক সপ্তাহ থেকে কান ভেজা ভেজা লাগছে এর সাথে কানে ভোঁ ভোঁ শব্দ হচ্ছে। যন্ত্রণায় ঘুমাতে পারছি না।,ENT
আমার ছেলের খেলার সময় কাঁধে চোট লেগেছে।,Orthopedic
আমার যোনিপথ খুব শুকনো এবং সহবাসে সমস্যা হয়।,Gynecologist
আমার পায়ুপথের ভেতরে টিউমার হয়েছে।,Surgery
আমার মেরুদণ্ডে টিউমার হয়েছে বলে সন্দেহ হচ্ছে।,Surgery
আমার মেয়ের পা দুটো সামান্য বাঁকা।,Orthopedic
আমার মায়ের কোমরে ব্যথা করে। ঠিকমত উঠা বসা করতে পারে না,Orthopedic
"জীবন হল সাইকেল চালানোর মত। আপনার ভারসাম্য বজায় রাখতে, আপনাকে অবশ্যই চলতে হবে।",Psychiatrist
"আমার অনেক দিন সময় ধরে দাঁতের গোড়ায় এ পচন, যা থেকে মাঝে মাঝে পুঁজ বের হয়।",Dentist
আমার গর্ভাবস্থায় ফোলাভাব বেশি।,Gynecologist
"আমার সপ্তাহের শুরুতে থেকে মাড়ি সরে যাওয়া, দাঁতের গোড়া বের হয়ে আসছে মুখে দুর্গন্ধ সৃষ্টি করছে। যন্ত্রণায় কাজে মনোযোগ দিতে পারছি না এবং এর সাথে পচন দেখা যাচ্ছে।",Dentist
"আমার গত দুই সপ্তাহ যাবৎ মিষ্টি জাতীয় খাবার খেলে ক্ষণিকের তীব্র যন্ত্রণা, বিশেষ করে চকলেট বা মিষ্টি ফল। ডাক্তার দেখানোর সিদ্ধান্ত নিয়েছি।",Dentist
"আমার লম্বা সময় সময় ধরে মাড়ি সরে যাওয়া, দাঁতের গোড়া বের হয়ে আসছে খাবার চিবোতে সমস্যা হচ্ছে। এমনকি নরম খাবার খেতেও কষ্ট হচ্ছে।",Dentist
আমার ৩ দিন ধরে পেটে অনেক ব্যথা। বমি হচ্ছে,Medicine
আমার পেটের ভেতর পুঁজ জমে অ্যাবসেস হয়েছে।,Surgery
প্রেগন্যান্সির সময় ঘাড়ে ব্যথা হচ্ছে।,Gynecologist
